,Scaler,kernel,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,best_param
0,SScaler,rquadratic,0.755252606255012,0.1181686833416409,2.1113187789916994,0.031003343990105063,0.4977846145629883,0.006377293595364198,"{'svc__kernel': 'rquadratic', 'svc__gamma': 'auto', 'svc__coef0': 3792.690190732246, 'svc__C': 27825.59402207126}"
1,SScaler,rbf,0.7758887997861534,0.13978308549595272,0.012038755416870116,0.0026000961390245177,0.002172231674194336,0.0012382801083860246,"{'svc__kernel': 'rbf', 'svc__gamma': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
2,SScaler,tru,0.7255279337075647,0.06146796233394711,3.3715750217437743,0.04318106922366046,0.8520289421081543,0.0346316642408582,"{'svc__kernel': 'tru', 'svc__gamma': 545.5594781168514, 'svc__C': 46.4158883361278}"
3,SScaler,can,0.7068163592622293,0.12373989932135959,3.961621952056885,0.07674122439875575,0.9801954746246337,0.031704069197545204,"{'svc__kernel': 'can', 'svc__gamma': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
4,SScaler,radial_basic,0.7598235765838012,0.13208314931702314,2.823305130004883,0.044028282101232254,0.6844390392303467,0.022305972964967405,"{'svc__kernel': 'radial_basic', 'svc__gamma': 0.004832930238571752, 'svc__C': 3.5938136638046276}"
5,SScaler,triangle,0.7346164127238706,0.09442261229726642,1.8358674049377441,0.034777803889671305,0.45121307373046876,0.010527632050933758,"{'svc__kernel': 'triangle', 'svc__gamma': 545.5594781168514, 'svc__C': 46.4158883361278}"
6,SScaler,hyperbolic,0.7598235765838012,0.12467341860298305,1.052733850479126,0.076662126784513,0.28484249114990234,0.015687642688842974,"{'svc__kernel': 'hyperbolic', 'svc__gamma': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
7,MMScaler,rquadratic,0.7597701149425287,0.13727814829272292,2.095294237136841,0.06408486112200815,0.5191436767578125,0.0043723448615291035,"{'svc__kernel': 'rquadratic', 'svc__gamma': 'auto', 'svc__coef0': 3792.690190732246, 'svc__C': 27825.59402207126}"
8,MMScaler,rbf,0.7368350708366748,0.10932663818368968,0.00794520378112793,0.0017537477642983214,0.0016643047332763673,6.823048217366286e-05,"{'svc__kernel': 'rbf', 'svc__gamma': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
9,MMScaler,tru,0.7368350708366747,0.11336099501403922,3.434942436218262,0.030514702556926867,0.8559468269348145,0.02089700769576967,"{'svc__kernel': 'tru', 'svc__gamma': 4.281332398719396, 'svc__C': 12.91549665014884}"
10,MMScaler,can,0.7231221598503075,0.09231656771021517,3.9946274280548097,0.017039690416062382,0.958631181716919,0.015765528172789322,"{'svc__kernel': 'can', 'svc__gamma': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
11,MMScaler,radial_basic,0.7644212777332264,0.12892265647932616,2.7901967048645018,0.029605516252220094,0.688924503326416,0.016611191053089697,"{'svc__kernel': 'radial_basic', 'svc__gamma': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
12,MMScaler,triangle,0.7413793103448276,0.12528208361782725,1.7963916778564453,0.016645558452947268,0.4395613193511963,0.006526220961691297,"{'svc__kernel': 'triangle', 'svc__gamma': 4.281332398719396, 'svc__C': 12.91549665014884}"
13,MMScaler,hyperbolic,0.7414327719860999,0.11086047045272343,0.9486866474151612,0.014735806786347188,0.2321749210357666,0.0023546449969900803,"{'svc__kernel': 'hyperbolic', 'svc__gamma': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
14,NMScaler,rquadratic,0.6287089013632718,0.07881468120026502,2.0999571323394775,0.04634440003456615,0.4896258354187012,0.015506997093643598,"{'svc__kernel': 'rquadratic', 'svc__gamma': 'auto', 'svc__coef0': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
15,NMScaler,rbf,0.6333333333333333,0.07593169914902873,1.0066895484924316,0.5860825360506203,0.0016589641571044921,0.0003344018024251855,"{'svc__kernel': 'rbf', 'svc__gamma': 3792.690190732246, 'svc__C': 27825.59402207126}"
16,NMScaler,tru,0.6884522854851645,0.10597878755584017,3.352868938446045,0.024479328761193464,0.8337671756744385,0.014867329013241878,"{'svc__kernel': 'tru', 'svc__gamma': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
17,NMScaler,can,0.7532477947072975,0.05687426696667542,3.846461057662964,0.024033600890590392,0.9493708133697509,0.00951955210177637,"{'svc__kernel': 'can', 'svc__gamma': 4.281332398719396, 'svc__C': 12.91549665014884}"
18,NMScaler,radial_basic,0.6057471264367816,0.06498066218437965,6.371807527542114,1.1924030917932769,0.6381414890289306,0.05967997402089322,"{'svc__kernel': 'radial_basic', 'svc__gamma': 3792.690190732246, 'svc__C': 27825.59402207126}"
19,NMScaler,triangle,0.7,0.10088785405743304,1.6697142601013184,0.02314142469061159,0.4175727367401123,0.010550293799312983,"{'svc__kernel': 'triangle', 'svc__gamma': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
20,NMScaler,hyperbolic,0.5783480352846833,0.004705231911400833,0.9527430057525634,0.013991420097416989,0.2338529109954834,0.005615682465812608,"{'svc__kernel': 'hyperbolic', 'svc__gamma': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
