,Scaler,kernel,mean_test_score,std_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,best_param
0,SScaler,rquadratic,0.5179898422881583,0.11179778982310494,2.0174049854278566,0.012295815166733318,0.49867568016052244,0.004597449427736421,"{'svc__kernel': 'rquadratic', 'svc__gamma': 'auto', 'svc__coef0': 545.5594781168514, 'svc__C': 46.4158883361278}"
1,SScaler,rbf,0.5248863940122962,0.1125996087239463,0.01819267272949219,0.004336310810708504,0.002329397201538086,0.00015041944360034753,"{'svc__kernel': 'rbf', 'svc__gamma': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
2,SScaler,tru,0.44434643143544506,0.10799223747519432,3.3716001510620117,0.062297415998089994,0.833190631866455,0.009965229658232481,"{'svc__kernel': 'tru', 'svc__gamma': 545.5594781168514, 'svc__C': 46.4158883361278}"
3,SScaler,can,0.4236567762630313,0.09108891020608778,3.894555950164795,0.02389180202868899,0.965143346786499,0.01744376524932316,"{'svc__kernel': 'can', 'svc__gamma': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
4,SScaler,radial_basic,0.536327185244587,0.1264176899538214,2.7688623905181884,0.013314145690439176,0.6836774349212646,0.011638936590076393,"{'svc__kernel': 'radial_basic', 'svc__gamma': 0.004832930238571752, 'svc__C': 3.5938136638046276}"
5,SScaler,triangle,0.5042502004811549,0.0849750210733977,1.7880223751068116,0.009627518459301668,0.43803935050964354,0.007377283625372988,"{'svc__kernel': 'triangle', 'svc__gamma': 545.5594781168514, 'svc__C': 46.4158883361278}"
6,SScaler,hyperbolic,0.5340550654905105,0.1276946270291301,0.9594048023223877,0.01634906883305452,0.23666806221008302,0.009597912054815019,"{'svc__kernel': 'hyperbolic', 'svc__gamma': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
7,MMScaler,rquadratic,0.5293237102379043,0.15623504037616612,1.9989424705505372,0.013808061855288434,0.4962166786193848,0.010883100525916031,"{'svc__kernel': 'rquadratic', 'svc__gamma': 'auto', 'svc__coef0': 3792.690190732246, 'svc__C': 27825.59402207126}"
8,MMScaler,rbf,0.5157177225340819,0.10232276023536738,0.018080520629882812,0.0036466786492938283,0.002174711227416992,0.00035022839132732835,"{'svc__kernel': 'rbf', 'svc__gamma': 11.288378916846883, 'svc__C': 2154.4346900318847}"
9,MMScaler,tru,0.4788559208767709,0.10878210501949238,3.3221718788146974,0.03467463647529976,0.8190155506134034,0.0062931538775311555,"{'svc__kernel': 'tru', 'svc__gamma': 4.281332398719396, 'svc__C': 12.91549665014884}"
10,MMScaler,can,0.45134990644212786,0.07996760777750063,3.8173052310943603,0.02724288294440374,0.9534912586212159,0.013783916518644093,"{'svc__kernel': 'can', 'svc__gamma': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
11,MMScaler,radial_basic,0.5317027532745255,0.1415746732359371,2.7595022678375245,0.02237264973037426,0.6948388576507568,0.018457816882220642,"{'svc__kernel': 'radial_basic', 'svc__gamma': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
12,MMScaler,triangle,0.49500133654103184,0.08637032183570184,1.7840502738952637,0.02435506107378716,0.44298267364501953,0.0066872926254032935,"{'svc__kernel': 'triangle', 'svc__gamma': 3792.690190732246, 'svc__C': 27825.59402207126}"
13,MMScaler,hyperbolic,0.506361935311414,0.14993940397385924,0.9424440860748291,0.025911748248402165,0.23462963104248047,0.006307319215760677,"{'svc__kernel': 'hyperbolic', 'svc__gamma': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
14,NMScaler,rquadratic,0.345442395081529,0.0466369403291271,2.0191457271575928,0.027128466201402492,0.4584178924560547,0.07597161960492094,"{'svc__kernel': 'rquadratic', 'svc__gamma': 'auto', 'svc__coef0': 11.288378916846883, 'svc__C': 2154.4346900318847}"
15,NMScaler,rbf,0.3271317829457364,0.05031856708040389,0.014678001403808594,0.0010033199300912273,0.0027730464935302734,4.392780635752345e-05,"{'svc__kernel': 'rbf', 'svc__gamma': 4.281332398719396, 'svc__C': 12.91549665014884}"
16,NMScaler,tru,0.5089013632718524,0.10304284445071214,3.3449620246887206,0.01713970160557913,0.8667684078216553,0.04125563513307123,"{'svc__kernel': 'tru', 'svc__gamma': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
17,NMScaler,can,0.4905105586741513,0.0811826948962854,3.834990072250366,0.025073050516500765,0.9564846992492676,0.013801005936028336,"{'svc__kernel': 'can', 'svc__gamma': 4.281332398719396, 'svc__C': 12.91549665014884}"
18,NMScaler,radial_basic,0.32469927826784284,0.05174493129697656,2.7608181476593017,0.011165949704082434,0.6975849628448486,0.016785106210649887,"{'svc__kernel': 'radial_basic', 'svc__gamma': 0.23357214690901212, 'svc__C': 7742.636826811277}"
19,NMScaler,triangle,0.4996524993317295,0.10855206890528002,1.678788423538208,0.013444241321928282,0.4198424816131592,0.004335309702379651,"{'svc__kernel': 'triangle', 'svc__gamma': 0.0006951927961775605, 'svc__C': 2154.4346900318847}"
20,NMScaler,hyperbolic,0.31093290564020315,0.04160037154427074,0.9514840126037598,0.021914957184562094,0.24286313056945802,0.0070455710309222505,"{'svc__kernel': 'hyperbolic', 'svc__gamma': 0.23357214690901212, 'svc__C': 7742.636826811277}"
